,2020_03_02_0023.abf,2020_07_07_0005.abf
adapt,0.0017718696358203557,0.018422842396354812
adp_v,,
avg_rate,8.75,7.5
fast_trough_t,0.2519,0.29715
fast_trough_v,-963.7451171875,-790.4052734375
fi_fit_slope,0.04999999999999999,0.03303571428571428
first_isi,0.07269999999999999,0.08015000000000003
input_resistance,973.8013857886904,2019.2464192708353
isi_cv,0.024120818301078435,0.07527120196015395
latency,0.042300000000000004,0.0012999999999999956
mean_isi,0.07152499999999999,0.08748
median_isi,0.07144999999999999,0.08440000000000003
peak_t,0.24815,0.28215
peak_v,749.51171875,695.1904296875
rheo_first_isi,0.11475000000000002,0.16935
rheobase_i,250.0,150.0
sag,0.09247682988643646,0.0031511096749454737
stim_amp,300.0,200.0
tau,,
threshold_v,-797.7294921875,-822.1435546875
trough_t,0.2733,0.34140000000000004
trough_v,-1011.962890625,-895.3857421875
upstroke_downstroke_ratio,1.5834580464500012,2.8136711350283146
v_baseline,-1257.9545796712239,-1231.7535067664253
vm_for_sag,-992.431640625,-1054.0771484375
width,0.0012500000000000011,0.0023999999999999577
