,tau,v_baseline,input_resistance,vm_for_sag,fi_fit_slope,sag,rheobase_i
2020_01_27_0002.nwb,nan,-66.86299784043256,147.44461059570312,-100.95215,0.0410196997680961,0.10097678750753403,50.0
2020_01_27_0009.nwb,nan,-76.15237712860107,152.6896208524704,-99.487305,0.01721304733690948,0.089016854763031,60.000003814697266
2020_01_27_0014.nwb,nan,-54.52278391520182,215.23162841796847,-85.9375,0.039974099839395,0.1422785520553589,50.0
2020_01_27_0023.nwb,nan,-65.02848587036132,310.9232485294342,-100.79956,0.0784200259148936,0.0421382337808609,30.000001907348633
2020_01_27_0042.nwb,nan,-62.69568571259704,141.24548435211182,-93.048096,-0.004092253044164633,0.10000012814998627,70.0
2020_01_28_0007.nwb,nan,-59.67277135848999,114.1357496380806,-95.61157,0.10136341091782225,0.12255702912807465,130.00001525878906
2020_01_28_0016.nwb,nan,-52.94247407913208,199.17802512645721,-99.39575,0.0958545696232692,0.05946950986981392,50.0
2020_01_28_0030.nwb,nan,-74.08528785705566,108.74424874782562,-100.250244,0.08403985744895802,0.1807040274143219,130.00001525878906
2020_02_03_0001.nwb,nan,-57.70159797668457,191.59947335720062,-100.03662,0.055540716530477194,0.15656153857707977,30.000001907348633
2020_02_03_0003.nwb,nan,-50.447724962234496,88.04317563772202,-79.01001,0.09583800098603056,0.24549372494220734,10.000000953674316
2020_02_03_0007.nwb,nan,-59.576776123046876,220.1334834098816,-100.09765,0.10030191853001835,0.11788815259933472,50.0
2020_02_03_0008.nwb,nan,-72.77215217141544,313.96133422851534,-98.754875,-0.06152955081805666,0.06948341429233551,50.0
2020_02_03_0010.nwb,nan,-51.968162298202515,132.1919560432434,-95.88623,0.08528817853628937,0.11264531314373016,80.00000762939453
2020_02_20_0000.nwb,nan,-51.49508156776428,148.7731635570526,-90.82031,0.15011576212236669,0.13390538096427917,30.000001907348633
2020_02_26_0006.nwb,nan,-55.86988707951137,117.47222900390611,-88.7146,0.037573874894578904,0.13321173191070557,50.0
2020_02_26_0009.nwb,nan,-69.45167922973633,65.7757568359375,-88.04321,0.007574637802744066,0.07846156507730484,200.0
2020_02_26_0010.nwb,nan,-62.86459522247314,65.3076171875,-87.127686,0.0603230873556773,0.07992096990346909,130.00001525878906
2020_02_26_0013.nwb,0.05246094442757065,-67.84207181930542,167.694091796875,-99.731445,0.07169415132650064,0.08045968413352966,70.0
2020_02_26_0015.nwb,nan,-63.4291009426117,128.1229704618454,-99.70093,0.08958946330140379,0.13979868590831757,70.0
2020_02_26_0017.nwb,nan,-60.45592456817627,148.468017578125,-100.70801,0.007407455060258417,0.11520126461982727,80.00000762939453
2020_02_26_0018.nwb,nan,-59.08928478240967,206.756591796875,-99.609375,-0.0008989324678295624,0.2160777747631073,10.000000953674316
