,adapt,avg_rate,first_isi,isi_cv,latency,mean_isi,median_isi,stim_amp,threshold_v,peak_v,trough_v,fast_trough_v,adp_v,width,upstroke_downstroke_ratio,peak_t,fast_trough_t,trough_t,rheo_first_isi,v_baseline,rheobase_i,fi_fit_slope,sag,vm_for_sag,input_resistance,tau
2020_01_27_0002.nwb,0.183177570093458,5.067139599695971,0.1311,0.183177570093458,0.06894999999999998,0.1605,0.1605,100.0,-53.89404296875,32.745361328125,-56.94580078125,-53.985591888427734,,0.004150000000000015,4.341546831281329,0.1658,0.18155,0.21465,0.20595,-66.86299784043256,50.0,0.0410196997680961,0.10097678750753403,-100.9521484375,147.44461059570312,
2020_01_27_0009.nwb,0.0815678446207223,8.445232666159951,0.07995,0.18287200916994728,0.06775,0.11016250000000001,0.115,100.0,-53.192138671875,31.18896484375,-61.370845794677734,-57.647705078125,,0.003549999999999942,3.5984792786693047,0.5048,0.52355,0.5601,0.05999999999999994,-76.15237712860107,60.000003814697266,0.01721304733690948,0.089016854763031,-99.4873046875,152.6896208524704,
2020_01_27_0014.nwb,0.02089285026027228,18.579511865551893,0.04064999999999999,0.10978172368734036,0.026749999999999996,0.053235,0.05284999999999998,100.0,-51.849365234375,29.60205078125,-56.7626953125,-55.633544921875,,0.0022000000000000075,2.574422922221476,0.1487,0.16145,0.17205,0.060600000000000015,-54.52278391520182,50.0,0.039974099839395,0.1422785520553589,-85.9375,215.23162841796847,
2020_01_27_0023.nwb,0.023324255385467483,32.09188413140782,0.016549999999999995,0.23951239935594637,0.017,0.03091111111111111,0.03320000000000001,70.0,-42.48046875,-17.15087890625,-43.975830078125,-43.792724609375,,0.003250000000000003,3.6868882422851477,0.1887,0.20445,0.20895,0.05310000000000001,-65.02848587036132,30.000001907348633,0.0784200259148936,0.0421382337808609,-100.799560546875,310.9232485294342,
2020_01_27_0042.nwb,0.2616268478591952,8.445232666159951,0.02595,0.498769319365518,0.06714999999999999,0.08527499999999999,0.09032500000000002,110.00000762939453,-41.534423828125,57.80029296875,-39.154052734375,-39.0625,,0.0024500000000000077,2.970829219298165,0.36085,0.36785,0.36825,0.05495,-62.69568571259704,70.0,-0.004092253044164633,0.10000012814998627,-93.048095703125,141.24548435211182,
2020_01_28_0007.nwb,0.08603270780890797,6.312732782021337,0.10294999999999999,0.18621357648480452,0.036750000000000005,0.1476875,0.1573,170.0,-36.254878997802734,51.45263671875,-50.048824310302734,-44.769287109375,,0.0010499999999999954,1.342731412207026,0.26355,0.26645,0.30765,,-59.67277135848999,130.00001525878906,0.09611694066275875,0.1275247484445572,-95.611572265625,114.1357496380806,
2020_01_28_0016.nwb,0.07896447012983085,11.823325732623932,0.04845000000000001,0.22983928084396119,0.0228,0.08178333333333333,0.08370000000000001,90.0,-30.792236328125,19.6533203125,-44.097900390625,-41.44287109375,,0.0015000000000000013,1.4474849457787167,0.2198,0.2245,0.2556,0.26805,-52.94247407913208,50.0,0.0958545696232692,0.05946950986981392,-99.395751953125,199.17802512645721,
2020_01_28_0030.nwb,0.06680911131287239,8.837825894829871,0.0791,0.18778288454897496,0.03789999999999999,0.12485833333333335,0.12685,170.0,-49.591064453125,34.820556640625,-65.0634765625,-57.586666107177734,,0.0010500000000000231,1.6144646927815158,0.2451,0.2494,0.30235,,-74.08528785705566,130.00001525878906,0.08039291826778928,0.18777820467948914,-100.250244140625,108.74424874782562,
2020_02_03_0001.nwb,0.03447728776799564,11.362919007638407,0.0673,0.1435397065792473,0.029200000000000004,0.09434375,0.09869999999999998,70.0,-34.1796875,36.80419921875,-52.825927734375,-46.173095703125,,0.0013999999999999568,1.6309460241457396,0.28355,0.28745,0.33835,,-57.70159797668457,30.000001907348633,0.04415021501593474,0.16100190579891205,-100.03662109375,191.59947335720062,
2020_02_03_0003.nwb,0.01216078975669521,10.100372451234138,0.09025,0.06061931607717252,0.009899999999999992,0.10104285714285714,0.10205000000000009,50.0,-44.036865234375,35.15625,-54.5654296875,-50.72021484375,,0.0008499999999999897,1.2051938074000466,0.17285,0.1752,0.1981,0.19545,-50.447724962234496,10.000000953674316,0.09113847861205193,0.2533218264579773,-79.010009765625,87.89058774709702,
